scenario_id,provider_code,last_update_at,freshness_state
NORMAL-001,BKASH_SIM,2026-07-11T08:00:00Z,fresh
NORMAL-001,NAGAD_SIM,2026-07-11T08:00:00Z,fresh
NORMAL-001,ROCKET_SIM,2026-07-11T08:00:00Z,fresh
SHORTAGE-001,BKASH_SIM,2026-07-11T08:00:00Z,fresh
SHORTAGE-001,NAGAD_SIM,2026-07-11T08:00:00Z,fresh
SHORTAGE-001,ROCKET_SIM,2026-07-11T08:00:00Z,fresh
REPEATED-001,BKASH_SIM,2026-07-11T08:00:00Z,fresh
REPEATED-001,NAGAD_SIM,2026-07-11T08:00:00Z,fresh
REPEATED-001,ROCKET_SIM,2026-07-11T08:00:00Z,fresh
STALE-001,BKASH_SIM,2026-07-11T08:00:00Z,fresh
STALE-001,NAGAD_SIM,2026-07-11T08:00:00Z,fresh
STALE-001,ROCKET_SIM,2026-07-11T06:00:00Z,delayed
